Optimal RPM (Predicted),Energy Usage (Predicted Optimal RPM),Energy Reduction (%)
1301.5364505645543,30.81590510698577,24.711238571192048
1251.4366469799781,18.60074326665954,30.395836382022644
1140.2379908222035,15.696239820903031,42.21588107936643
1148.7834438076352,32.37294111346955,41.34651552148756
1452.9180842564683,41.59631818474094,6.1790684640228415
953.0072346553534,14.285880084925104,59.63454269753583
1041.7154738398995,25.70273183396939,51.77017206944505
1107.204788702353,18.45692638683441,45.515446927759015
957.0845234697765,9.02905704576014,59.288409552650265
1366.3273857668798,17.59816878967375,17.028865551264175
1500.0,33.85500436196588,0.0
1452.8597337787678,24.694301266787058,6.1866041761905715
1485.1255151718328,50.84912174410033,1.973431297137698
1500.0,53.07124701475039,0.0
1411.3525173815194,48.70535299707513,11.470403185815469
1375.385765801683,29.83646445007949,15.925066454671907
911.5402618330227,8.282379434534608,63.07086004699486
1233.123673434712,22.698700766279327,32.41804471177253
1264.040437386335,35.982947880243216,28.986745451207234
861.2673338546068,9.556102367743573,67.03193687266565
1345.4705557845691,20.4871804959245,19.54262148963391
1330.0119575581518,28.83002373124159,21.380808566770348
1202.7230608241914,18.592059390482163,35.70921062051949
980.3495910365739,15.606268995626689,57.28509686019656
1296.293669042199,15.718105306433944,25.316565493382825
1263.6017982793353,40.872767608801574,29.036022017121326
1445.0727272046759,30.601002439615023,7.189547248410704
1124.6280789685459,20.80891766033224,43.787185955356364
1493.399070915587,23.555756262466254,0.8781873328205289
1275.1083776098567,40.81214370352396,27.737716682184853
1389.9081699315432,40.943228339226714,14.140234629224391
1500.0,22.15135153550608,0.0
1342.122153913251,47.209751522224906,19.942583287789148
1007.6608545451905,27.051182872011157,54.87198232076695
1134.2519088701185,20.401409054163725,42.821004765533
1397.2857869137827,31.162015860364725,13.226330208388045
988.7904442699222,9.44819256515691,56.54637588091066
1382.4327943658275,48.46179091992508,15.061314180528433
1385.9672591937594,22.028040859074466,14.62643361968615
1064.3477045189281,27.848820623916428,49.651731728235035
