,Mean Squared Error (MSE),Root Mean Squared Error (RMSE),Mean Absolute Error (MAE),Mean Absolute Percentage Error (MAPE),R^2 Score
Linear Regression,32.05107951812161,5.661367283450316,3.9382656370984637,5.4509052040342505,0.7803260723362014
Decision Tree,6.359001962239039,2.521706160963057,1.512651966647791,2.1126143246609352,0.9564162281561517
Random Forest,1.5806458036494577,1.2572373696519912,0.7312432872339926,1.041524050356208,0.989166459378173
Support Vector Regressor,20.97130737690042,4.579444003031418,2.0494892609389073,3.4602700261716337,0.856265388592487
Neural Network (MLP),0.22732943591306207,0.4767907674368937,0.32061212038660225,0.4211802442569175,0.998441913632507
